ticker,q,fecha_earnings,retorno_pct,retorno_5d,direccion,target,eps_surprise_pct,eps_surprise_trend,eps_surprise_zscore,momentum_5d,momentum_20d,volatility_20d,momentum_agreement,score_positivo,score_negativo,score_neutral,polaridad,kw_positivos,kw_negativos,kw_ratio,kw_cat_enc,uncertainty_score,forward_guidance_score,text_length_log,question_density,negative_words_score,tiene_transcripcion
GOOGL,2020-Q3,2020-07-28,-0.39,-2.0184,BAJA,0,24.3902,-3.9216,0.44227344603483637,-2.2004,12.2484,1.4503,0,0.3926,0.0123,0.5951,0.3803,1.0,0.0,0.5,1,0.9845,0.4219,6.5681,0.0612,0.0,1
GOOGL,2020-Q4,2020-10-29,6.97,13.2072,SUBE,1,46.4286,10.2343,1.4458048135324568,-4.7409,3.0841,2.2367,0,0.8559,0.0197,0.1244,0.8362,3.0,0.0,0.75,1,0.7716,1.0802,6.4754,0.0,0.0,1
GOOGL,2021-Q1,2021-02-02,8.76,8.1428,SUBE,1,40.0,35.409400000000005,1.1530747719189456,-0.0639,8.0125,2.3037,0,0.6907,0.0127,0.2966,0.678,4.0,1.0,0.5,1,0.7407,0.1481,6.5162,0.0,0.1481,1
GOOGL,2021-Q2,2021-04-27,2.13,0.6918,SUBE,0,67.9487,43.2143,2.4257350889465314,0.8809,14.0858,1.4065,1,0.7664,0.0094,0.2242,0.757,2.0,0.0,0.6667,1,0.4724,0.0,6.4552,0.0,0.1575,1
GOOGL,2021-Q3,2021-07-27,1.54,2.8279,SUBE,0,41.6667,53.97435,1.228968926222719,7.5912,9.4087,1.2058,1,0.179,0.0116,0.8094,0.1674,1.0,0.0,0.5,1,0.5642,0.141,6.5653,0.0769,0.0,1
GOOGL,2021-Q4,2021-10-26,6.38,4.396,SUBE,1,19.6581,54.8077,0.22679451906484357,-3.7338,-2.5696,1.4689,1,0.3453,0.0135,0.6412,0.3318,0.0,0.0,0.0,0,1.238,0.4127,6.5903,0.0408,0.0,1
GOOGL,2022-Q1,2022-02-01,9.38,1.275,SUBE,0,12.5,30.662399999999998,-0.09915372952328974,3.4399,-6.5919,1.9182,0,0.3393,0.0114,0.6493,0.3279,1.0,2.0,-0.25,-1,0.7669,0.0,6.4816,0.0278,0.1534,1
GOOGL,2022-Q2,2022-04-26,-7.13,-1.1091,BAJA,0,-3.9063,16.079050000000002,-0.8462241463673532,-3.6048,-13.1281,2.0224,1,0.3624,0.011,0.6267,0.3514,3.0,0.0,0.75,1,0.0,0.0,6.4953,0.0,0.0,1
GOOGL,2022-Q3,2022-07-26,5.16,9.6267,SUBE,1,-6.2016,4.29685,-0.9507419674350028,-1.3941,-8.8705,2.6213,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2022-Q4,2022-10-25,-7.4,-13.4093,BAJA,0,-15.873,-5.05395,-1.3911347939385823,2.5508,4.4311,1.9678,1,0.1772,0.189,0.6338,-0.0118,0.0,2.0,-0.6667,-1,1.2535,0.9749,6.5779,0.1053,0.2786,1
GOOGL,2023-Q1,2023-02-02,4.33,-11.8155,SUBE,0,-12.5,-11.037299999999998,-1.2375432762889584,5.4715,12.6908,2.1197,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2023-Q2,2023-04-25,-2.13,1.4155,BAJA,0,9.3458,-14.186499999999999,-0.2427820618596206,0.0,0.5026,1.6446,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2023-Q3,2023-07-25,6.37,7.6426,SUBE,1,7.4627,-1.5770999999999988,-0.32853011608019783,-2.503,-0.6621,1.6617,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2023-Q4,2023-10-24,-7.98,-10.6116,BAJA,0,6.8966,8.404250000000001,-0.35430780897715963,-1.8692,4.111,1.334,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2024-Q1,2024-01-30,-8.74,-4.8594,BAJA,0,2.5,7.1796500000000005,-0.5545095482295571,5.151,9.4701,1.1223,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2024-Q2,2024-04-25,8.06,6.8077,SUBE,1,25.1656,4.6983000000000015,0.47758173621732036,2.3542,5.6149,1.4212,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2024-Q3,2024-07-23,-4.98,-6.326,BAJA,0,2.7174,13.832800000000002,-0.5446101127308829,-2.6055,1.1357,1.5557,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
GOOGL,2024-Q4,2024-10-29,4.64,0.0354,SUBE,0,14.5946,13.941500000000003,-0.003774899737074976,1.6152,0.5246,1.0426,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
JPM,2020-Q4,2020-10-13,-2.17,-0.4068,BAJA,0,37.9464,0.0,1.3946665689719169,3.433,0.8984,1.5037,1,0.1155,0.0246,0.8599,0.0909,0.0,0.0,0.0,0,1.9455,0.5188,6.649,0.0652,0.0,1
JPM,2021-Q1,2021-01-15,-2.22,-4.7028,BAJA,0,15.8491,37.9464,0.0279186103922755,3.9008,18.1738,1.7016,1,0.0719,0.0197,0.9084,0.0522,0.0,0.0,0.0,0,0.4178,0.1393,6.5779,0.0588,0.0,1
JPM,2021-Q2,2021-04-14,-1.25,-0.4431,BAJA,0,50.0,26.89775,2.1401980680028196,1.0161,-0.2397,1.3258,0,0.0926,0.0225,0.8848,0.0701,0.0,0.0,0.0,0,1.2397,0.2755,6.5889,0.0566,0.0,1
JPM,2021-Q3,2021-07-13,-1.82,-3.8162,BAJA,0,19.2429,32.924549999999996,0.23782974079407057,1.2626,-0.8606,1.5377,0,0.1354,0.0703,0.7943,0.0651,0.0,0.0,0.0,0,1.3661,0.2732,6.5971,0.0208,0.1366,1
JPM,2021-Q4,2021-10-13,-1.14,6.1118,BAJA,1,18.3333,34.621449999999996,0.1815697478028889,-1.9566,5.9123,1.573,0,0.4487,0.0096,0.5417,0.4391,1.0,1.0,0.0,0,1.6845,0.7657,6.4831,0.0,0.1531,1
